,0
0,22.687894187936646
1,48.34294671281181
2,75.2644896604023
3,107.37875486059112
4,136.12309500603155
5,152.92116942341625
6,149.0242117349794
7,129.76228789206755
8,102.13148817143414
9,74.58538313646622
10,51.894455118279346
11,35.11851313202301
12,23.373693044052445
13,15.43997036537396
14,10.218641759355446
15,6.826473947669259
16,4.624216065589241
17,3.1799006533923824
18,2.2155262360124066
19,1.5585060221600848
20,1.1029675988510386
21,0.783082485917336
22,0.5566803685217014
23,0.3958001691455061
24,0.28133546248180746
25,0.19994006849633444
26,0.14215917059109126
27,0.10124053585350087
28,0.07234319736998966
29,0.05199288537587153
