,0
0,20.549968256094576
1,43.954616662886295
2,69.1486320641308
3,102.37059530654194
4,134.63400326770065
5,149.77331146449387
6,147.85734077163266
7,129.52538266107734
8,101.8758315736225
9,74.33270158441272
10,51.75543352298192
11,35.11640236409613
12,23.51570827912991
13,15.654234621243102
14,10.408261621711587
15,6.934284648852119
16,4.6406993005158945
17,3.1267599470310965
18,2.12447178107572
19,1.4564604169663586
20,1.0068888550059325
21,0.7009463726670139
22,0.49050069646634825
23,0.34442487623427337
24,0.2423356946307493
25,0.17066118172143255
26,0.12020704756311694
27,0.08464904471518922
28,0.05958539464614675
29,0.04192731982233736
