,0
0,24.189186811810075
1,50.65152054970337
2,73.66296379419187
3,93.85524638840174
4,111.67724143368868
5,127.46465259903093
6,141.4879012811136
7,153.97400169406845
8,165.11538807623361
9,175.0743494817915
10,183.98622529588334
11,191.96209185882935
12,199.09092648535875
13,205.44106066672384
14,211.0606769618213
15,215.97700492488053
16,220.19365003872423
17,223.68504009824454
18,226.38607188154472
19,228.17316510816582
20,228.8287895593881
21,227.97171208948396
22,224.91014263672974
23,218.30910763783024
24,205.47370248384738
25,183.66235476308432
26,159.65856838909318
27,138.38439461910994
28,120.1608233635319
29,104.64067152648153
