,0
0,26.809639097663045
1,53.58937326795201
2,78.65506282563499
3,102.74203140305815
4,126.2784143686259
5,149.50210385019028
6,172.47905730606985
7,194.7611751072495
8,209.56279289393044
9,197.6912518909728
10,173.6609879266747
11,147.213031987706
12,122.10727379353908
13,99.90594969005247
14,81.03109184157785
15,65.35619838553714
16,52.526872944725675
17,42.123285387783355
18,33.736839650316675
19,27.002241682397322
20,21.60724718147839
21,17.29184431422595
22,13.842953080078647
23,11.087702506704172
24,8.88674710958854
25,7.128245095117632
26,5.722694609069503
27,4.598623133860755
28,3.6990432474167836
29,2.9785649981935958
