,0
0,27.03079221060695
1,54.114326997648064
2,79.3422167909398
3,103.21166996480139
4,123.95148757940028
5,119.98637763541637
6,101.41327625698689
7,83.31263020785084
8,67.71650631415962
9,54.79804061550366
10,44.27853135330992
11,35.78567855685422
12,28.96082279937646
13,23.490313022082738
14,19.111244437937096
15,15.608110891292649
16,12.806475298382892
17,10.566131312845627
18,8.77478389899346
19,7.342619990839312
20,6.1978251287936255
21,5.282960463585787
22,4.552065951382154
23,3.9683533130418582
24,3.5023692418482377
25,3.130531095565004
26,2.8339575507884907
27,2.5975334059249513
28,2.4091608291241813
29,2.2591594629003926
