,0
0,26.392846337972873
1,55.900038980059165
2,85.60220816791308
3,115.25656224403937
4,141.0738256199378
5,162.97239557862127
6,121.55408610540512
7,111.17215910167205
8,92.35814791802864
9,72.82785895276015
10,57.46231289509933
11,45.04524437004466
12,34.93023336375696
13,26.846426191124753
14,20.51871134712712
15,15.64425418889414
16,11.934321062567568
17,9.138057812391398
18,7.048771363139582
19,5.501300293284295
20,4.365967315059322
21,3.5419329278033027
22,2.9511956503703622
23,2.5336441984594233
24,2.2431586178764253
25,2.044591737496979
26,1.9114261206940861
27,1.8239269801345381
28,1.7676578581439724
29,1.7322709619655445
