,0
0,1.68376649427673
1,1.6883925316607564
2,1.6952972992971556
3,1.7049693133774015
4,1.717769237772621
5,1.7339371671022907
6,1.7536203421517806
7,1.7768956961583453
8,1.8037864143563063
9,1.8342743403793893
10,1.8683094930778772
11,1.9058174745051826
12,1.9467052831287572
13,1.9908658930999463
14,2.0381818640939877
15,2.0885281810097394
16,2.141774476384152
17,2.197786754179573
18,2.2564287078206573
19,2.317562705613691
20,2.3810505014475987
21,2.446753717061852
22,2.514534133890473
23,2.5842538282233427
24,2.6557751854884
25,2.7289608430573034
26,2.803673645785445
27,2.8797767688125497
28,2.9571342808439582
29,3.035612575156671
30,3.1150831888502446
31,3.1954273106841606
32,3.2765413951387443
33,3.358341814779597
34,3.4407656552186316
35,3.523766398163838
36,3.60730666761329
37,3.691351791912249
38,3.7758662262493234
39,3.8608125168090868
40,3.9461516131184817
41,4.031843608158145
42,4.117848463881858
43,4.204126581325654
44,4.290639205008983
45,4.377348691910305
46,4.464218680236068
47,4.551214187279092
48,4.638301658188601
49,4.725448981149377
50,4.812625479756771
51,4.899801890073959
52,4.9869503275275875
53,5.074044247236305
54,5.161058400275635
55,5.247968787623333
56,5.334752613023443
57,5.4213882356181315
58,5.507855122966325
59,5.594133804858563
60,5.680205828221866
61,5.766053713306974
62,5.851660911281617
63,5.937011763307015
64,6.022091461131315
65,6.106886009214315
66,6.1913821883750835
67,6.275567520939742
68,6.359430237356697
69,6.4429592442408365
70,6.526144093806875
71,6.608974954635324
72,6.691442583734936
73,6.7735382998432
74,6.85525395791625
75,6.9365819247665375
76,7.017515055790429
77,7.098046672743194
78,7.178170542517635
79,7.257880856876567
80,7.337172213101363
81,7.416039595509894
82,7.494478357811488
83,7.572484206252123
84,7.650053183521004
85,7.727181653376511
86,7.8038662859659675
87,7.88010404380122
88,7.955892168359291
89,8.03122816728506
90,8.106109802160482
91,8.180535076821593
92,8.254502226191672
93,8.328009705609539
94,8.401056180629052
95,8.473640517271024
96,8.54576177270365
97,8.61741918632924
98,8.688612171270872
99,8.759340306214964
100,8.829603327633157
101,8.899401122321933
102,8.968733720281634
103,9.03760128789386
104,9.106004121407057
105,9.173942640689926
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
