,0
0,24.1890616188896
1,50.649432821300564
2,73.65976095308895
3,93.87114304240721
4,111.77513917378522
5,127.75362250217592
6,142.10852966793414
7,155.0817213514131
8,166.86915121852772
9,177.63120733521933
10,187.50037406097053
11,196.58698349861456
12,204.9835813217054
13,212.76826963070638
14,220.00727899995528
15,226.75694328740448
16,233.06519020213565
17,238.97260591087866
18,244.51306743854292
19,249.71383217811362
20,254.59475465643857
21,259.1657471343954
22,263.4199634604112
23,267.3144219737645
24,270.70442564608885
25,273.04952631349494
26,271.7574761345773
27,260.799815227527
28,242.4763026851938
29,217.8784240655237
