,0
0,27.018565684289452
1,53.19198949134408
2,76.16997527085462
3,96.58751082443136
4,114.88464436941048
5,131.37893032181452
6,146.31513688715586
7,159.89022216318315
8,172.2652275300809
9,183.57149919160062
10,193.91381262040417
11,203.3707949202291
12,211.99169913206205
13,219.7861244223339
14,226.69566845473437
15,232.50601529748357
16,236.49455232562244
17,235.66206920402288
18,224.46036198206073
19,208.41849527239035
20,192.22909656797637
21,176.80741725625185
22,162.35754280127972
23,148.92199775940924
24,136.48740481543263
25,125.01561706714281
26,114.45652292518051
27,104.75452567577265
28,95.85220020765505
29,87.69246092441333
